Zone,Hour,DayType,DayOfWeek,Weather,Temperature,Humidity,Demand
Sector 9,12,Weekday,4,Fog,13,63,25.5
Kohka,22,Weekday,2,Clear,20,34,17.4
Sector 8,9,Weekend,5,Cloudy,32,83,39.0
Sector 10,10,Weekday,1,Cloudy,24,45,29.5
Kohka,1,Weekday,2,Thunderstorm,40,80,8.2
Sector 6,12,Weekday,4,Clear,27,52,29.2
Sector 10,23,Weekend,5,Cloudy,35,52,9.5
Kohka,17,Weekday,3,Rain,35,36,48.3
Smriti Nagar,10,Weekday,3,Rain,37,83,44.2
Kohka,14,Weekday,3,Rain,36,69,31.2
Supela,0,Weekend,5,Rain,24,59,10.5
Sector 9,10,Weekday,2,Clear,21,66,34.8
Kohka,23,Weekday,4,Clear,27,52,11.0
Sector 1,13,Weekday,0,Clear,32,74,47.2
Sector 8,22,Weekday,1,Rain,20,88,20.2
Sector 6,2,Weekday,3,Cloudy,31,64,3.9
Sector 4,2,Weekday,0,Heavy Rain,30,67,5.5
Durg Station,3,Weekend,6,Rain,21,85,5.8
Bhilai 3,1,Weekend,5,Cloudy,32,83,5.1
Sector 4,21,Weekday,1,Cloudy,23,49,30.8
Kohka,8,Weekday,2,Thunderstorm,22,70,73.3
Sector 8,20,Weekday,0,Thunderstorm,42,59,65.5
Sector 4,18,Weekday,4,Clear,25,42,46.7
Bhilai 3,7,Weekday,4,Rain,34,60,55.6
Kohka,23,Weekend,6,Fog,19,52,7.9
Sector 10,12,Weekday,2,Fog,36,95,29.3
Sector 5,22,Weekend,5,Clear,40,88,19.3
Durg Station,10,Weekday,2,Rain,34,82,66.7
Sector 1,19,Weekday,4,Rain,31,82,68.8
Nehru Nagar,13,Weekday,1,Cloudy,24,45,46.9
Junwani,22,Weekend,5,Heavy Rain,27,74,33.9
Power House,7,Weekend,5,Rain,36,41,44.6
Sector 2,14,Weekday,3,Thunderstorm,30,71,55.1
Supela,15,Weekend,6,Clear,32,36,40.7
Sector 4,18,Weekend,5,Cloudy,32,83,46.2
Sector 5,15,Weekday,0,Clear,42,59,24.9
Smriti Nagar,2,Weekday,2,Clear,31,77,3.9
Supela,15,Weekday,1,Thunderstorm,35,71,70.1
Nehru Nagar,3,Weekend,5,Cloudy,32,36,3.1
Supela,3,Weekday,1,Cloudy,35,50,4.8
Sector 9,19,Weekday,1,Rain,28,43,66.0
Sector 2,17,Weekday,1,Rain,20,88,67.9
Durg Station,7,Weekend,6,Rain,23,84,54.8
Nehru Nagar,1,Weekend,5,Cloudy,32,36,4.7
Sector 3,3,Weekday,0,Fog,20,31,2.4
Sector 9,23,Weekend,6,Rain,21,31,14.2
Junwani,21,Weekday,4,Clear,31,48,24.0
Sector 5,15,Weekday,0,Cloudy,41,37,28.7
Sector 2,1,Weekday,2,Clear,27,64,5.5
Nehru Nagar,15,Weekday,2,Rain,34,82,51.5
Sector 10,14,Weekday,0,Heavy Rain,25,70,37.9
Sector 9,21,Weekday,0,Fog,20,31,21.5
Sector 10,17,Weekday,3,Heavy Rain,36,69,69.8
Kohka,19,Weekday,1,Heavy Rain,31,75,50.5
Junwani,23,Weekend,5,Cloudy,32,83,12.8
Durg Station,23,Weekend,5,Cloudy,35,52,15.1
Sector 1,15,Weekday,3,Fog,14,37,36.0
Durg Station,11,Weekday,3,Rain,35,36,66.2
Civic Center,9,Weekday,2,Clear,31,77,58.4
Sector 5,1,Weekday,4,Rain,31,82,2.8
Sector 4,3,Weekday,1,Cloudy,31,75,3.0
Kohka,7,Weekday,1,Rain,20,88,42.3
Supela,1,Weekday,4,Rain,34,60,9.4
Junwani,18,Weekend,6,Rain,23,84,101.7
Supela,18,Weekday,4,Clear,41,45,84.2
Sector 3,7,Weekday,3,Rain,36,69,49.4
Nehru Nagar,11,Weekday,0,Clear,42,59,32.6
Sector 2,9,Weekday,2,Rain,40,42,61.8
Smriti Nagar,1,Weekday,1,Heavy Rain,31,75,6.4
Sector 3,23,Weekend,6,Fog,19,52,8.2
Kohka,21,Weekend,5,Cloudy,35,52,21.8
Sector 7,4,Weekend,5,Cloudy,32,83,4.1
Nehru Nagar,9,Weekday,3,Fog,14,37,39.5
Kohka,4,Weekday,1,Fog,18,94,2.9
Smriti Nagar,13,Weekend,5,Clear,40,88,35.9
Sector 3,0,Weekday,0,Thunderstorm,40,43,11.3
Sector 8,18,Weekday,0,Fog,20,31,41.6
Nehru Nagar,2,Weekday,2,Clear,21,66,5.0
Durg Station,19,Weekday,4,Clear,41,45,77.7
Sector 10,13,Weekend,5,Thunderstorm,37,81,36.7
Sector 9,10,Weekday,1,Thunderstorm,35,71,47.4
Sector 7,5,Weekday,3,Rain,35,36,16.9
Smriti Nagar,4,Weekday,1,Thunderstorm,35,71,7.4
Sector 7,11,Weekend,5,Cloudy,35,52,37.6
Nehru Nagar,1,Weekday,0,Heavy Rain,25,70,9.9
Sector 9,5,Weekday,0,Heavy Rain,25,70,12.9
Sector 2,11,Weekday,0,Fog,20,31,30.5
Padmanabhpur,11,Weekday,0,Fog,20,31,26.7
Bhilai 3,0,Weekday,3,Heavy Rain,37,83,10.4
Smriti Nagar,5,Weekend,6,Clear,23,87,9.8
Junwani,0,Weekday,0,Heavy Rain,25,70,10.5
Supela,16,Weekend,5,Clear,27,74,47.7
Sector 1,12,Weekend,6,Thunderstorm,23,87,64.4
Sector 3,15,Weekday,3,Cloudy,31,64,33.2
Sector 3,16,Weekday,1,Fog,18,94,33.4
Smriti Nagar,13,Weekday,3,Fog,14,37,31.7
Sector 5,13,Weekend,6,Cloudy,39,74,27.5
Sector 4,22,Weekend,6,Fog,15,68,21.4
Sector 9,20,Weekday,0,Rain,38,36,46.6
Sector 8,16,Weekday,1,Fog,18,94,36.3
Padmanabhpur,6,Weekday,1,Cloudy,35,71,33.4
Nehru Nagar,10,Weekday,2,Fog,40,42,41.1
Nehru Nagar,16,Weekend,6,Rain,33,61,47.8
Smriti Nagar,17,Weekday,1,Rain,20,88,76.6
Sector 9,13,Weekday,2,Cloudy,36,95,30.8
Padmanabhpur,8,Weekend,5,Cloudy,32,83,50.0
Sector 8,7,Weekday,0,Heavy Rain,30,67,60.8
Sector 8,11,Weekend,5,Clear,40,88,26.7
Sector 10,15,Weekend,6,Clear,33,61,25.3
Sector 8,10,Weekend,6,Heavy Rain,21,31,36.7
Sector 5,13,Weekday,2,Rain,22,70,35.6
Supela,11,Weekday,4,Thunderstorm,27,61,66.6
Sector 4,17,Weekday,3,Fog,20,76,39.0
Sector 1,6,Weekday,1,Heavy Rain,31,75,43.2
Junwani,14,Weekend,5,Rain,36,41,35.4
Sector 1,16,Weekday,3,Rain,20,79,59.3
Civic Center,11,Weekday,0,Fog,20,31,42.8
Sector 10,7,Weekend,5,Thunderstorm,31,37,34.0
Sector 3,12,Weekday,4,Clear,38,35,41.5
Sector 6,6,Weekend,5,Rain,36,41,33.8
Civic Center,11,Weekend,6,Thunderstorm,35,59,60.2
Smriti Nagar,21,Weekend,6,Rain,21,85,43.9
Bhilai 3,10,Weekday,0,Thunderstorm,40,43,54.3
Sector 7,4,Weekend,5,Cloudy,35,52,4.0
Sector 7,1,Weekend,6,Cloudy,41,89,4.8
Sector 8,16,Weekend,6,Rain,33,61,38.0
Sector 2,20,Weekday,4,Cloudy,27,61,45.2
Sector 3,21,Weekday,3,Thunderstorm,35,66,41.5
Junwani,19,Weekend,5,Cloudy,32,83,50.4
Sector 7,0,Weekday,3,Fog,14,37,7.9
Smriti Nagar,15,Weekday,2,Rain,20,34,42.0
Kohka,0,Weekday,2,Thunderstorm,22,70,11.3
Sector 6,3,Weekend,6,Heavy Rain,38,39,3.7
Sector 4,14,Weekday,1,Clear,34,91,26.3
Nehru Nagar,6,Weekend,5,Fog,15,76,20.6
Smriti Nagar,19,Weekend,6,Thunderstorm,32,36,82.7
Junwani,9,Weekday,4,Rain,30,76,63.0
Nehru Nagar,8,Weekday,1,Cloudy,24,45,50.9
Sector 2,9,Weekday,3,Rain,35,36,55.0
Civic Center,4,Weekday,0,Cloudy,20,62,6.2
Sector 9,23,Weekend,6,Fog,19,52,6.9
Nehru Nagar,11,Weekend,5,Rain,24,59,43.4
Power House,3,Weekday,3,Thunderstorm,37,70,4.6
Sector 3,10,Weekday,0,Clear,32,74,33.0
Sector 1,23,Weekend,6,Rain,23,84,18.3
Nehru Nagar,9,Weekday,3,Cloudy,31,64,63.3
Sector 6,2,Weekend,5,Clear,30,67,3.2
Supela,21,Weekday,4,Cloudy,30,76,37.3
Durg Station,7,Weekend,6,Clear,33,61,53.9
Sector 4,2,Weekend,5,Fog,15,76,2.7
Durg Station,22,Weekend,5,Cloudy,34,42,38.6
Sector 4,2,Weekend,5,Cloudy,35,52,3.3
Civic Center,1,Weekday,3,Rain,36,69,9.3
Civic Center,1,Weekday,1,Fog,18,94,6.2
Civic Center,1,Weekday,1,Fog,22,42,6.2
Sector 10,14,Weekday,1,Fog,22,42,20.1
Smriti Nagar,12,Weekday,4,Cloudy,31,48,34.8
Sector 10,9,Weekday,1,Clear,34,91,28.0
Sector 7,19,Weekday,3,Cloudy,20,76,47.1
Smriti Nagar,21,Weekday,0,Fog,20,31,23.1
Sector 9,12,Weekday,2,Cloudy,34,48,43.3
Kohka,14,Weekend,6,Cloudy,39,74,24.3
Sector 3,8,Weekday,3,Rain,39,85,80.6
Civic Center,10,Weekday,0,Rain,33,85,79.5
Padmanabhpur,8,Weekend,6,Clear,32,36,46.6
Sector 5,20,Weekday,4,Cloudy,38,35,33.7
Sector 10,5,Weekday,4,Cloudy,22,79,8.0
Sector 10,7,Weekday,4,Clear,31,48,28.7
Sector 10,4,Weekday,0,Cloudy,20,62,3.2
Power House,21,Weekday,3,Fog,20,76,19.3
Kohka,13,Weekend,5,Rain,24,59,34.0
Sector 10,3,Weekday,3,Rain,37,83,3.5
Sector 7,14,Weekend,5,Clear,27,74,27.6
Sector 2,2,Weekday,1,Rain,28,43,6.4
Sector 5,16,Weekend,6,Clear,32,36,26.1
Bhilai 3,9,Weekday,1,Heavy Rain,23,49,81.9
Sector 4,16,Weekday,2,Clear,21,66,37.7
Smriti Nagar,1,Weekday,0,Heavy Rain,25,70,6.8
Durg Station,17,Weekday,0,Heavy Rain,30,67,103.6
Kohka,15,Weekday,2,Rain,20,34,41.4
Sector 7,21,Weekday,2,Cloudy,34,48,31.2
Sector 6,4,Weekday,1,Clear,35,50,4.4
Sector 10,8,Weekday,0,Cloudy,41,37,39.4
Sector 2,5,Weekend,5,Cloudy,34,42,9.0
Sector 4,7,Weekday,3,Rain,36,69,44.8
Padmanabhpur,12,Weekend,5,Cloudy,35,52,43.7
Sector 10,0,Weekday,3,Fog,14,37,5.5
Smriti Nagar,20,Weekday,4,Rain,30,76,54.8
Civic Center,9,Weekend,5,Fog,20,95,47.2
Civic Center,22,Weekend,5,Rain,24,59,53.1
Junwani,3,Weekday,2,Thunderstorm,22,70,4.1
Durg Station,19,Weekday,3,Rain,35,36,84.1
Bhilai 3,0,Weekday,3,Heavy Rain,30,71,13.5
Sector 8,1,Weekday,4,Clear,25,42,4.4
Sector 4,21,Weekday,0,Cloudy,41,37,23.6
Sector 1,22,Weekday,4,Rain,31,82,40.0
Sector 10,2,Weekday,4,Thunderstorm,27,61,5.4
Durg Station,5,Weekday,3,Rain,36,69,18.0
Durg Station,9,Weekday,0,Clear,32,74,62.1
Sector 6,0,Weekday,0,Thunderstorm,23,45,11.9
Nehru Nagar,1,Weekend,5,Rain,36,41,8.8
Bhilai 3,18,Weekday,2,Rain,40,42,82.9
Sector 2,22,Weekend,6,Clear,33,61,27.1
Sector 7,11,Weekday,4,Fog,13,63,32.0
Sector 2,3,Weekday,1,Fog,18,94,3.4
Nehru Nagar,2,Weekend,5,Fog,15,76,3.3
Bhilai 3,14,Weekday,2,Rain,34,48,38.8
Sector 8,19,Weekend,6,Cloudy,39,74,61.2
Supela,17,Weekday,2,Cloudy,34,48,86.3
Kohka,7,Weekday,2,Clear,31,77,25.9
Power House,14,Weekend,6,Thunderstorm,32,36,37.4
Junwani,8,Weekend,6,Fog,19,52,34.1
Supela,2,Weekend,6,Fog,15,68,4.6
Padmanabhpur,5,Weekday,2,Rain,42,93,14.4
Sector 7,22,Weekend,5,Heavy Rain,27,74,45.7
Sector 2,19,Weekend,5,Cloudy,15,76,70.1
Junwani,14,Weekend,5,Cloudy,32,83,29.7
Padmanabhpur,14,Weekday,2,Rain,40,42,41.0
Sector 2,0,Weekend,5,Cloudy,35,52,6.8
Junwani,4,Weekend,5,Clear,40,88,3.6
Nehru Nagar,13,Weekday,4,Clear,38,35,43.2
Sector 9,15,Weekday,1,Rain,24,45,27.3
Nehru Nagar,0,Weekday,1,Cloudy,32,44,12.2
Durg Station,20,Weekday,0,Thunderstorm,23,45,109.8
Sector 9,9,Weekday,2,Cloudy,34,48,34.2
Junwani,3,Weekday,3,Fog,14,37,2.3
Nehru Nagar,22,Weekend,5,Fog,20,95,25.5
Sector 7,23,Weekend,6,Heavy Rain,38,39,20.6
Smriti Nagar,11,Weekend,6,Heavy Rain,38,39,42.3
Sector 7,16,Weekday,2,Clear,20,34,45.5
Nehru Nagar,0,Weekday,3,Thunderstorm,35,66,14.2
Power House,14,Weekend,5,Thunderstorm,37,81,40.3
Junwani,1,Weekday,1,Cloudy,35,50,6.1
Sector 3,12,Weekday,2,Rain,34,82,47.6
Sector 1,20,Weekend,5,Clear,27,74,64.1
Supela,20,Weekend,6,Rain,21,31,74.2
Smriti Nagar,8,Weekday,2,Clear,20,34,54.2
Nehru Nagar,4,Weekday,3,Rain,14,37,7.9
Sector 10,1,Weekday,3,Thunderstorm,37,70,6.5
Sector 2,22,Weekend,5,Cloudy,32,36,26.3
Padmanabhpur,19,Weekday,2,Rain,34,82,63.0
Padmanabhpur,2,Weekday,1,Cloudy,35,50,5.4
Sector 6,22,Weekday,3,Rain,31,46,26.8
Smriti Nagar,13,Weekend,5,Clear,27,74,33.2
Kohka,19,Weekday,2,Rain,34,82,45.7
Sector 2,15,Weekday,0,Heavy Rain,30,67,38.3
Sector 6,11,Weekday,2,Clear,36,47,43.4
Padmanabhpur,20,Weekend,5,Clear,30,67,49.2
Sector 7,1,Weekend,5,Rain,36,41,5.6
Smriti Nagar,10,Weekday,3,Clear,39,85,34.9
Sector 1,5,Weekend,5,Cloudy,34,42,10.9
Civic Center,7,Weekday,1,Heavy Rain,31,75,79.6
Bhilai 3,14,Weekday,2,Rain,42,93,55.0
Bhilai 3,23,Weekday,4,Clear,27,52,12.9
Supela,3,Weekday,1,Rain,28,43,5.1
Durg Station,4,Weekday,0,Clear,32,74,5.1
Sector 10,2,Weekday,3,Fog,20,76,2.7
Sector 10,2,Weekday,4,Thunderstorm,34,60,4.9
Sector 4,3,Weekend,5,Clear,27,74,2.5
Kohka,21,Weekend,6,Rain,23,84,29.5
Sector 10,11,Weekday,2,Clear,23,34,30.7
Supela,12,Weekend,5,Cloudy,35,52,43.7
Sector 9,1,Weekend,6,Rain,23,84,4.1
Sector 7,19,Weekday,3,Rain,31,46,74.7
Sector 9,5,Weekday,3,Rain,31,46,13.0
Sector 8,8,Weekday,4,Thunderstorm,27,61,82.4
Bhilai 3,9,Weekday,4,Rain,34,60,64.7
Sector 9,14,Weekday,4,Clear,31,48,28.5
Sector 1,13,Weekday,0,Clear,42,59,32.2
Durg Station,19,Weekday,1,Cloudy,35,50,74.1
Junwani,14,Weekday,2,Thunderstorm,40,80,47.0
Sector 1,7,Weekend,6,Cloudy,39,74,42.0
Civic Center,18,Weekend,5,Rain,36,41,117.0
Padmanabhpur,5,Weekend,5,Rain,24,59,13.0
Smriti Nagar,20,Weekday,1,Heavy Rain,31,75,43.8
Junwani,14,Weekday,1,Thunderstorm,35,50,43.6
Sector 10,0,Weekday,2,Cloudy,34,48,7.3
Sector 3,10,Weekday,3,Rain,37,83,45.2
Civic Center,2,Weekday,0,Clear,42,59,5.9
Smriti Nagar,5,Weekend,5,Cloudy,32,36,9.3
Supela,3,Weekday,2,Heavy Rain,31,77,5.4
Nehru Nagar,3,Weekend,6,Thunderstorm,35,59,4.4
Padmanabhpur,7,Weekday,4,Rain,31,82,55.5
Sector 7,18,Weekday,4,Rain,30,76,84.8
Sector 4,6,Weekday,2,Clear,36,47,18.5
Sector 6,3,Weekend,6,Rain,23,84,3.6
Sector 4,10,Weekday,2,Thunderstorm,40,80,51.1
Kohka,11,Weekend,5,Rain,24,59,35.4
Sector 9,14,Weekday,3,Thunderstorm,30,71,37.3
Smriti Nagar,10,Weekday,3,Rain,31,46,44.9
Sector 4,2,Weekday,0,Thunderstorm,40,43,5.8
Bhilai 3,16,Weekend,5,Clear,27,74,35.9
Kohka,14,Weekday,2,Thunderstorm,40,80,32.1
Junwani,7,Weekday,4,Rain,35,62,52.7
Durg Station,3,Weekday,1,Cloudy,38,47,3.9
Power House,6,Weekday,0,Clear,42,59,18.8
Sector 5,22,Weekday,0,Heavy Rain,25,70,25.3
Power House,23,Weekday,4,Clear,27,52,12.4
Sector 10,10,Weekend,6,Fog,21,85,16.8
Junwani,14,Weekday,4,Fog,13,63,27.1
Sector 9,19,Weekday,2,Clear,23,34,47.4
Sector 2,6,Weekday,0,Rain,41,37,29.0
Sector 7,17,Weekday,2,Thunderstorm,40,80,105.2
Sector 3,18,Weekend,6,Heavy Rain,38,39,113.3
Durg Station,22,Weekend,6,Clear,32,36,33.0
Supela,6,Weekend,5,Thunderstorm,37,81,48.5
Bhilai 3,14,Weekend,5,Cloudy,35,52,23.7
Junwani,14,Weekday,2,Clear,31,77,28.0
Junwani,1,Weekday,3,Fog,31,64,4.8
Sector 3,12,Weekday,3,Thunderstorm,37,70,62.8
Padmanabhpur,12,Weekday,2,Cloudy,34,48,36.5
Bhilai 3,19,Weekend,5,Cloudy,32,36,61.5
Sector 5,11,Weekday,3,Rain,35,36,44.0
Sector 3,8,Weekday,0,Fog,13,59,33.1
Sector 10,19,Weekend,5,Cloudy,15,76,53.7
Junwani,12,Weekday,2,Clear,23,34,33.9
Civic Center,2,Weekday,0,Clear,32,74,6.1
Kohka,16,Weekday,1,Cloudy,28,43,37.5
Sector 3,22,Weekday,3,Rain,35,36,23.1
Nehru Nagar,4,Weekday,2,Clear,21,66,3.9
Sector 8,1,Weekday,1,Cloudy,24,45,5.7
Civic Center,21,Weekday,0,Fog,20,31,31.8
Sector 2,19,Weekend,5,Rain,24,59,53.2
Sector 10,11,Weekday,1,Cloudy,35,50,25.8
Sector 2,20,Weekday,3,Cloudy,31,64,34.8
Nehru Nagar,3,Weekday,2,Thunderstorm,40,80,5.1
Bhilai 3,12,Weekday,2,Thunderstorm,40,42,66.7
Sector 4,9,Weekend,5,Cloudy,34,42,35.8
Sector 5,17,Weekend,6,Cloudy,39,74,60.5
Padmanabhpur,18,Weekend,6,Rain,21,85,86.8
Sector 2,15,Weekday,1,Fog,38,47,28.8
Power House,6,Weekend,5,Clear,40,88,16.7
Sector 1,11,Weekday,4,Rain,31,82,52.3
Kohka,6,Weekday,4,Cloudy,27,52,22.5
Sector 4,5,Weekend,5,Cloudy,34,42,7.3
Sector 5,21,Weekday,0,Clear,32,74,20.3
Kohka,5,Weekend,6,Clear,23,87,8.5
Supela,0,Weekday,2,Clear,36,47,8.9
Sector 1,8,Weekday,4,Rain,30,76,71.0
Sector 9,14,Weekday,4,Clear,27,52,27.7
Nehru Nagar,17,Weekend,5,Clear,27,74,80.1
Sector 6,4,Weekday,2,Clear,31,77,3.4
Sector 9,1,Weekday,3,Thunderstorm,30,71,6.0
Power House,19,Weekday,1,Cloudy,24,45,46.5
Civic Center,14,Weekday,2,Clear,31,77,49.8
Nehru Nagar,6,Weekday,4,Clear,31,48,27.9
Sector 2,22,Weekday,3,Rain,37,83,24.1
Power House,5,Weekday,1,Clear,34,91,9.3
Sector 1,9,Weekday,0,Thunderstorm,40,43,91.1
Nehru Nagar,11,Weekday,2,Clear,31,77,37.3
Sector 4,17,Weekday,1,Heavy Rain,31,75,77.6
Junwani,12,Weekday,3,Fog,20,76,31.2
Civic Center,11,Weekend,6,Fog,15,68,32.2
Durg Station,8,Weekday,0,Clear,42,59,68.2
Nehru Nagar,13,Weekday,0,Thunderstorm,23,45,86.9
Durg Station,9,Weekday,2,Cloudy,34,48,74.2
Power House,0,Weekend,6,Thunderstorm,35,59,8.3
Civic Center,20,Weekday,3,Heavy Rain,30,71,88.7
Padmanabhpur,11,Weekday,1,Heavy Rain,31,75,54.4
Sector 7,23,Weekday,4,Rain,34,60,17.2
Civic Center,17,Weekend,6,Rain,21,85,123.7
Bhilai 3,23,Weekday,3,Rain,37,83,15.9
Sector 5,20,Weekend,6,Rain,21,31,46.9
Sector 7,14,Weekend,5,Thunderstorm,37,81,42.3
Sector 3,2,Weekend,5,Clear,27,74,3.7
Durg Station,8,Weekend,5,Cloudy,32,36,68.0
Durg Station,13,Weekday,1,Heavy Rain,31,75,59.0
Sector 6,12,Weekday,2,Clear,23,34,32.1
Sector 8,14,Weekend,6,Clear,38,39,24.5
Civic Center,4,Weekday,2,Clear,23,34,6.3
Nehru Nagar,11,Weekday,0,Heavy Rain,30,67,55.4
Sector 5,0,Weekday,2,Thunderstorm,22,70,8.2
Supela,1,Weekday,0,Clear,32,74,7.2
Supela,0,Weekday,2,Thunderstorm,40,80,18.9
Junwani,19,Weekday,4,Clear,27,52,40.8
Sector 1,8,Weekend,5,Heavy Rain,35,52,97.3
Sector 3,20,Weekday,3,Rain,39,85,52.9
Junwani,5,Weekday,3,Cloudy,25,85,10.0
Sector 3,21,Weekday,0,Cloudy,41,37,27.2
Sector 5,1,Weekend,6,Cloudy,39,74,3.2
Sector 9,0,Weekend,5,Cloudy,32,36,4.7
Smriti Nagar,21,Weekday,3,Rain,31,46,38.3
Sector 10,23,Weekday,1,Clear,21,52,8.9
Civic Center,1,Weekday,1,Clear,34,91,6.5
Nehru Nagar,19,Weekend,6,Cloudy,39,74,69.9
Durg Station,17,Weekday,2,Clear,20,34,100.3
Sector 5,22,Weekday,4,Clear,25,42,17.6
Junwani,18,Weekday,1,Cloudy,32,44,60.7
Bhilai 3,10,Weekday,3,Cloudy,31,64,40.9
Sector 9,1,Weekday,1,Thunderstorm,35,71,8.1
Sector 4,2,Weekday,2,Rain,34,82,5.3
Sector 4,20,Weekday,2,Thunderstorm,22,70,53.1
Smriti Nagar,9,Weekend,6,Thunderstorm,35,59,69.1
Sector 4,9,Weekday,4,Fog,22,79,31.9
Sector 1,4,Weekday,3,Clear,20,76,4.9
Sector 9,14,Weekday,4,Fog,13,63,19.7
Supela,19,Weekend,5,Cloudy,34,42,96.3
Nehru Nagar,6,Weekday,0,Thunderstorm,40,43,41.5
Power House,9,Weekday,3,Thunderstorm,37,70,61.9
Sector 2,23,Weekday,2,Clear,27,64,13.6
Nehru Nagar,11,Weekday,3,Cloudy,14,37,42.8
Sector 4,3,Weekday,0,Fog,20,31,2.4
Sector 10,7,Weekday,4,Rain,34,60,39.2
Sector 10,18,Weekday,2,Clear,21,66,38.0
Sector 9,8,Weekday,4,Thunderstorm,41,45,66.5
Civic Center,2,Weekday,1,Rain,20,88,8.1
Junwani,0,Weekend,5,Rain,24,59,8.0
Sector 2,11,Weekend,5,Fog,15,76,24.3
Sector 9,6,Weekday,0,Cloudy,31,66,21.0
Durg Station,1,Weekday,0,Fog,13,59,5.3
Civic Center,16,Weekend,6,Heavy Rain,23,87,75.5
Sector 2,22,Weekday,0,Fog,20,31,17.9
Kohka,12,Weekday,2,Rain,27,64,47.5
Sector 9,16,Weekend,5,Rain,24,59,35.2
Sector 1,22,Weekday,1,Rain,20,88,41.3
Supela,11,Weekday,0,Cloudy,31,66,45.0
Kohka,21,Weekday,3,Rain,35,36,29.5
Sector 4,23,Weekday,4,Clear,41,45,10.4
Sector 4,23,Weekend,5,Clear,27,74,8.5
Power House,14,Weekday,0,Thunderstorm,40,43,53.1
Sector 8,1,Weekday,1,Rain,28,43,6.0
Sector 9,19,Weekday,4,Clear,25,42,43.1
Nehru Nagar,11,Weekday,1,Rain,20,88,55.6
Padmanabhpur,7,Weekday,2,Clear,31,77,42.7
Sector 4,23,Weekend,5,Rain,36,41,11.6
Sector 4,19,Weekday,4,Cloudy,25,51,46.5
Sector 8,4,Weekday,0,Clear,32,74,3.8
Bhilai 3,6,Weekday,3,Rain,36,69,34.0
Nehru Nagar,20,Weekday,4,Rain,25,51,62.8
Kohka,16,Weekday,1,Rain,20,88,50.3
Padmanabhpur,1,Weekend,6,Rain,21,85,6.5
Smriti Nagar,7,Weekday,4,Clear,27,52,34.4
Sector 1,0,Weekday,2,Cloudy,34,48,9.0
Bhilai 3,14,Weekday,0,Fog,20,31,27.2
Civic Center,5,Weekday,1,Clear,35,50,13.5
Smriti Nagar,13,Weekday,4,Fog,13,63,31.5
Sector 6,13,Weekday,0,Cloudy,20,62,35.7
Sector 9,23,Weekend,5,Cloudy,32,36,9.3
Sector 1,9,Weekday,4,Thunderstorm,41,45,104.4
Kohka,3,Weekday,3,Rain,36,69,2.8
Sector 2,21,Weekend,5,Cloudy,32,36,41.5
Sector 1,6,Weekday,2,Rain,34,82,34.2
Sector 6,16,Weekend,5,Fog,20,95,38.1
Sector 2,3,Weekday,1,Heavy Rain,21,52,5.3
Sector 8,22,Weekday,0,Thunderstorm,23,45,29.5
Sector 5,17,Weekday,0,Heavy Rain,30,67,71.8
Sector 5,16,Weekday,4,Clear,41,45,37.7
Sector 2,22,Weekday,2,Cloudy,34,48,23.2
Sector 1,9,Weekday,3,Thunderstorm,37,70,100.2
Nehru Nagar,2,Weekday,0,Fog,13,59,3.0
Sector 7,8,Weekend,6,Clear,23,87,51.5
Sector 2,14,Weekday,1,Thunderstorm,35,71,50.1
Sector 6,3,Weekday,1,Rain,20,88,3.6
Bhilai 3,0,Weekday,0,Rain,33,85,10.7
Sector 6,11,Weekend,5,Cloudy,34,42,32.6
Power House,21,Weekday,0,Clear,42,59,24.6
Nehru Nagar,6,Weekend,6,Fog,15,68,23.0
Sector 1,14,Weekday,1,Thunderstorm,35,71,66.5
Padmanabhpur,15,Weekday,4,Fog,13,63,30.2
Sector 7,5,Weekday,0,Cloudy,41,37,10.4
Power House,1,Weekend,5,Rain,24,59,5.7
Smriti Nagar,14,Weekday,1,Heavy Rain,21,52,47.9
Padmanabhpur,8,Weekday,4,Thunderstorm,27,61,92.5
Padmanabhpur,15,Weekday,2,Cloudy,36,95,33.9
Junwani,11,Weekday,2,Thunderstorm,22,70,45.9
Supela,9,Weekday,2,Clear,31,77,61.5
Padmanabhpur,23,Weekday,4,Clear,38,35,15.4
Smriti Nagar,8,Weekday,2,Fog,34,82,40.2
Junwani,15,Weekday,0,Rain,33,85,39.4
Sector 5,17,Weekday,3,Rain,31,46,53.2
Sector 7,16,Weekday,2,Thunderstorm,22,70,47.9
Sector 4,4,Weekday,3,Rain,37,83,5.2
Power House,14,Weekday,3,Fog,20,76,24.4
Sector 3,7,Weekday,2,Thunderstorm,22,70,56.5
Supela,10,Weekend,5,Cloudy,34,42,33.6
Bhilai 3,7,Weekend,6,Rain,21,85,39.9
Sector 3,13,Weekend,6,Rain,21,31,40.8
Junwani,20,Weekday,3,Cloudy,31,64,41.0
Sector 3,4,Weekday,0,Fog,20,31,3.3
Sector 8,9,Weekend,6,Rain,23,84,46.0
Bhilai 3,15,Weekday,3,Rain,36,69,51.4
Durg Station,17,Weekday,2,Clear,36,47,67.4
Sector 8,9,Weekday,1,Cloudy,32,44,53.1
Power House,7,Weekday,0,Fog,20,31,32.2
Civic Center,0,Weekday,1,Heavy Rain,35,50,14.0
Sector 10,4,Weekend,5,Cloudy,35,52,2.6
Smriti Nagar,12,Weekend,5,Cloudy,32,36,40.5
Nehru Nagar,1,Weekday,4,Rain,35,62,7.2
